date,close,high,low,open,close,volume
2002/6/27,1723.545,1730.673,1706.14,1714.744,1712.91,26111900
2002/6/26,1712.91,1719.084,1684.913,1698.11,1706.591,29518700
2002/6/25,1706.591,1748.89,1690.613,1718.234,1707.313,52889904
2002/6/24,1707.313,1709.066,1647.498,1704.698,1562.722,85051896
2002/6/21,1562.722,1564.922,1517.255,1517.275,1516.151,17967800
2002/6/20,1516.151,1528.358,1510.528,1511.115,1507.668,5680500
2002/6/19,1507.668,1524.011,1506.432,1523.953,1524.068,4434300
2002/6/18,1524.068,1527.765,1496.805,1496.831,1496.242,8365200
2002/6/17,1496.242,1496.839,1481.246,1489.135,1494.246,4482200
2002/6/14,1494.246,1508.647,1493.244,1508.642,1511.711,5461500
2002/6/13,1511.711,1529.436,1511.219,1524.772,1524.842,5775801
2002/6/12,1524.842,1531.75,1513.919,1531.75,1530.963,11734300
2002/6/11,1530.963,1534.377,1515.746,1515.993,1517.23,5805300
2002/6/10,1517.23,1529.378,1511.257,1529.336,1529.507,5479400
2002/6/7,1529.507,1540.825,1508.43,1522.879,1521.263,11445400
2002/6/6,1521.263,1532.735,1455.305,1458.611,1462,10962100
2002/6/5,1462,1491.074,1460.481,1491.074,1490.514,5415900
2002/6/4,1490.514,1498.051,1474.363,1484.008,1483.348,5546201
2002/6/3,1483.348,1510.259,1480.085,1510.247,1515.733,6233401
2002/5/31,1515.733,1532.034,1513.257,1523.014,1523.522,4850400
2002/5/30,1523.522,1530.773,1506.542,1524.218,1524.806,6713300
2002/5/29,1524.806,1558.145,1520.125,1558.131,1558.524,6605600
2002/5/28,1558.524,1569.411,1557.232,1557.624,1555.048,4680600
2002/5/27,1555.048,1562.633,1545.622,1555.042,1549.466,4682100
2002/5/24,1549.466,1574.134,1544.423,1572.938,1571.611,6374700
2002/5/23,1571.611,1585.742,1568.104,1571.075,1564.489,9149000
2002/5/22,1564.489,1591.034,1563.164,1590.794,1588.108,7702500
2002/5/21,1588.108,1599.113,1564.546,1575.022,1541.53,12498900
